,Location,TotalFatalInjuries,pop,Scaled_Fatalities
2634,"melozi hot spgs, ak",3.0,44187.0,6.789327177676693e-05
2636,"memphis, tn",3.0,351048.0,8.545839885143913e-06
1864,"hinton, ok",3.0,155862.0,1.924779612734342e-05
3767,"santa rosa, nm",3.0,765841.0,3.917262199333804e-06
3766,"santa rosa, ca",3.0,257174.0,1.1665253874808496e-05
1852,"highwood, mt",3.0,23423.0,0.00012807923835546258
1829,"hennessey, ok",3.0,273052.0,1.098691824267905e-05
2051,"johnson city, tn",3.0,487001.0,6.160151621865253e-06
2523,"marana, az",3.0,393273.0,7.628288745985613e-06
2495,"manassas, va",3.0,137354.0,2.1841373385558485e-05
3929,"so. lake tahoe, ca",3.0,40365.0,7.432181345224824e-05
3816,"sedona, az",3.0,113321.0,2.647346917164515e-05
2365,"lindenwood, il",3.0,63685.0,4.710685404726388e-05
2404,"logan, ut",3.0,131558.0,2.28036303379498e-05
3834,"sevier, ut",3.0,22192.0,0.00013518385003604902
2315,"leesville, la",3.0,37053.0,8.096510404015869e-05
3897,"sioux falls, sd",3.0,557760.0,5.378657487091222e-06
2432,"louisville, ky",3.0,1126657.0,2.6627447395258716e-06
2090,"kansas city, mo",3.0,9548059.0,3.1419998556774733e-07
2181,"la belle, fl",3.0,418548.0,7.167636686831618e-06
3805,"seagoville, tx",3.0,31675.0,9.471191791633781e-05
4014,"st. louis, mo",3.0,2765338.0,1.08485834281379e-06
2119,"kent, wa",3.0,184399.0,1.6269068704277137e-05
4024,st.thomas,3.0,94273.0,3.182247303045411e-05
2115,"kennesaw, ga",3.0,4656040.0,6.443243614745578e-07
1825,"henderson, la",3.0,46921.0,6.393725623921059e-05
4227,"tremonton, ut",3.0,187454.0,1.6003926296584763e-05
4340,"vista, ca",3.0,120792.0,2.483608185972581e-05
4231,"trenton, nj",3.0,1224569.0,2.4498415360833075e-06
2811,"mountaindale, or",3.0,34215.0,8.768084173608067e-05
2812,"mountville, pa",3.0,61361.0,4.88909893906553e-05
4296,"valencia, ca",3.0,128890.0,2.3275661416711924e-05
3679,"s. lake tahoe, ca",3.0,65118.0,4.607021100156639e-05
